Customer ID,Customer_Age,Branch,Customer type,Gender,Customer Job,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,gross income,Rating
750-67-8428,24,A,Member,Female,Selfemployeed,Health and beauty,74.69,7,26,549,01-01-2024,13:08,Ewallet,26.1415,9.1
226-31-3081,62,C,Normal,Female,Selfemployeed,Electronic accessories,15.28,5,4,80,01-01-2024,10:29,Cash,3.82,9.6
631-41-3108,32,A,Normal,Male,Blue-collar,Home and lifestyle,46.33,7,16,341,01-01-2024,13:23,Credit card,16.2155,7.4
123-19-1176,38,A,Member,Male,Businessman,Health and beauty,58.22,8,23,489,01-01-2024,20:33,Ewallet,23.288,8.4
373-73-7910,48,A,Normal,Male,Selfemployeed,Sports and travel,86.31,7,30,634,01-01-2024,10:37,Ewallet,30.2085,5.3
699-14-3026,33,C,Normal,Male,Selfemployeed,Electronic accessories,85.39,7,30,628,02-01-2024,18:30,Ewallet,29.8865,4.1
355-53-5943,34,A,Member,Female,Retirees,Electronic accessories,68.84,6,21,434,02-01-2024,14:36,Ewallet,20.652,5.8
315-22-5665,34,C,Normal,Female,Businessman,Home and lifestyle,73.56,10,37,772,02-01-2024,11:38,Ewallet,36.78,8
665-32-9167,48,A,Member,Female,Businessman,Health and beauty,36.26,2,4,76,02-01-2024,17:15,Credit card,3.626,7.2
692-92-5582,53,B,Member,Female,Businessman,Food and beverages,54.84,3,8,173,02-01-2024,13:27,Credit card,8.226,5.9
351-62-0822,31,B,Member,Female,Selfemployeed,Fashion accessories,14.48,4,3,61,02-01-2024,18:07,Ewallet,2.896,4.5
529-56-3974,34,B,Member,Male,Selfemployeed,Electronic accessories,25.51,4,5,107,02-01-2024,17:03,Cash,5.102,6.8
365-64-0515,51,A,Normal,Female,White-collar,Electronic accessories,46.95,5,12,246,02-01-2024,10:25,Ewallet,11.7375,7.1
252-56-2699,36,A,Normal,Male,Retirees,Food and beverages,43.19,10,22,453,02-01-2024,16:48,Ewallet,21.595,8.2
829-34-3910,49,A,Normal,Female,Govt,Health and beauty,71.38,10,36,749,02-01-2024,19:21,Cash,35.69,5.7
299-46-1805,53,B,Member,Female,Selfemployeed,Sports and travel,93.72,6,28,590,02-01-2024,16:19,Cash,28.116,4.5
656-95-9349,49,A,Member,Female,Businessman,Health and beauty,68.93,7,24,507,03-01-2024,11:03,Credit card,24.1255,4.6
765-26-6951,47,A,Normal,Male,Retirees,Sports and travel,72.61,6,22,457,03-01-2024,10:39,Credit card,21.783,6.9
329-62-1586,43,A,Normal,Male,Govt,Food and beverages,54.67,3,8,172,03-01-2024,18:00,Credit card,8.2005,8.6
319-50-3348,47,B,Normal,Female,Blue-collar,Home and lifestyle,40.3,2,4,85,03-01-2024,15:30,Ewallet,4.03,4.4
300-71-4605,34,C,Member,Male,Selfemployeed,Electronic accessories,86.04,5,22,452,03-01-2024,11:24,Ewallet,21.51,4.8
371-85-5789,37,B,Normal,Male,Selfemployeed,Health and beauty,87.98,3,13,277,03-01-2024,10:40,Ewallet,13.197,5.1
273-16-6619,63,B,Normal,Male,Retirees,Home and lifestyle,33.2,2,3,70,03-01-2024,12:20,Credit card,3.32,4.4
